geo_level,geo_name,year,pop_black_alone,pct_black_alone,pct_owner_occupied_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,median_monthly_housing_costs_owner_occupied_houses_with_mortages,median_monthly_housing_costs_owner_occupied_houses_without_mortages,median_real_estate_taxes_owner_occupied_houses_with_mortages,median_real_estate_taxes_owner_occupied_houses_without_mortages
zcta,37705,2021,0,0.0,0.0,274700,147900,1408,334,1291,1163
zcta,37708,2021,63,1.0,1.5,130500,122800,986,357,817,632
zcta,37709,2021,0,0.0,0.0,192300,124400,1332,379,983,741
zcta,37710,2021,0,0.0,0.0,78100,48000,762,293,394,288
zcta,37711,2021,0,0.0,0.0,128900,67300,936,274,826,459
zcta,37713,2021,0,0.0,0.0,85800,113200,750,230,672,683
zcta,37714,2021,0,0.0,0.0,129600,184100,1046,396,669,727
zcta,37715,2021,0,0.0,0.0,64000,99200,,310,527,336
zcta,37716,2021,387,1.5,1.1,168700,158400,1187,388,1045,1019
zcta,37719,2021,0,0.0,0.0,,,,,,
zcta,37721,2021,107,0.8,0.1,177800,153900,1130,340,958,772
zcta,37722,2021,0,0.0,0.0,156000,139100,1153,367,970,681
zcta,37723,2021,0,0.0,0.0,90300,118100,777,250,368,356
zcta,37724,2021,15,0.6,0.0,176100,101800,1073,339,909,548
zcta,37725,2021,280,1.6,1.8,173100,182300,1178,372,885,886
zcta,37726,2021,6,0.3,0.0,214600,80700,1074,336,707,458
zcta,37727,2021,0,0.0,0.0,141300,101900,970,297,692,643
zcta,37729,2021,0,0.0,0.0,65700,74100,800,312,,388
zcta,37730,2021,0,0.0,0.0,,,,,,
zcta,37731,2021,0,0.0,0.0,104200,,718,163,447,199
zcta,37732,2021,0,0.0,0.0,,,,,,
zcta,37733,2021,0,,,,,,,,
zcta,37737,2021,35,0.6,0.9,267900,160700,1458,421,1278,959
zcta,37738,2021,265,5.3,1.8,229400,227600,1174,400,973,739
zcta,37742,2021,31,0.5,1.2,230400,247900,1331,366,1067,1190
zcta,37743,2021,528,2.1,2.6,161600,142800,980,333,763,694
zcta,37745,2021,659,3.4,0.3,149000,167500,1090,348,774,840
zcta,37748,2021,817,5.0,5.6,142200,105000,1142,381,925,752
zcta,37752,2021,65,1.1,0.5,150900,143200,974,334,734,654
zcta,37753,2021,2,0.2,0.0,152300,76200,1118,333,895,550
zcta,37754,2021,36,1.0,0.0,172300,91100,1101,335,1203,688
zcta,37755,2021,41,1.4,0.0,102700,59800,894,247,,508
zcta,37756,2021,22,0.7,0.0,87900,78700,768,325,560,443
zcta,37757,2021,20,0.2,0.0,152800,129100,1118,393,717,704
zcta,37760,2021,393,2.8,0.6,176800,187200,1160,420,980,1243
zcta,37762,2021,52,2.0,0.0,208200,61000,1122,304,936,392
zcta,37763,2021,503,3.1,0.4,182900,222200,1351,461,1212,1398
zcta,37764,2021,0,0.0,0.0,205200,142400,1075,355,824,641
zcta,37765,2021,0,0.0,0.0,,,826,248,,
zcta,37766,2021,39,0.2,0.2,130000,85300,929,338,630,433
zcta,37769,2021,35,0.6,0.0,161600,164300,1310,386,954,729
zcta,37770,2021,0,0.0,0.0,157900,86700,1163,358,1090,750
zcta,37771,2021,266,1.5,0.9,213900,142100,1157,322,769,667
zcta,37772,2021,133,1.0,0.0,274700,348400,1504,517,1209,1355
